id,cInstr
values_114,22800
values_61,33183
values_511,6112
values_729,9000
values_460,29432
values_832,3055
values_348,12680
values_182,9000
values_986,343
values_180,3920
values_930,3055
values_274,6112
values_309,19895
values_496,19895
values_165,25975
values_553,95
values_870,22800
values_795,560
values_361,855
values_302,560
values_586,40
values_880,4935
values_665,41615
values_527,40
values_372,37240
values_382,37240
values_43,7463
values_935,192
values_2,40
values_790,855
values_152,1240
values_871,855
values_434,12680
values_775,37240
values_500,33183
values_220,10735
values_875,1240
values_249,95
values_808,4935
values_859,560
values_539,560
values_635,40
values_311,19895
values_183,1240
values_54,46320
values_390,4935
values_890,12680
values_711,343
values_471,41615
values_995,10735
values_443,95
values_464,2328
values_774,25975
values_200,29432
values_747,1727
values_758,95
values_30,40
values_820,37240
values_393,192
values_576,33183
values_445,41615
values_662,3920
values_403,560
values_640,343
values_59,95
values_490,12680
values_194,17248
values_751,1240
values_663,560
values_938,40
values_532,7463
values_885,1240
values_713,560
values_193,1240
values_650,41615
values_564,33183
values_267,560
values_147,14847
values_709,4935
values_857,343
values_334,9000
values_965,192
values_824,40
values_784,343
values_229,29432
values_538,22800
values_463,9000
values_741,1727
values_85,40
values_493,3920
values_794,46320
values_202,6112
values_74,9000
values_410,14847
values_469,12680
values_394,40
values_149,2328
values_945,9000
values_293,1240
values_456,25975
values_975,29432
values_547,6112
values_164,14847
values_720,19895
values_833,2328
values_90,12680
values_954,12680
values_483,2328
values_990,33183
values_113,37240
values_878,19895
values_942,17248
values_126,14847
values_666,7463
values_960,192
values_783,6112
values_735,17248
values_439,1727
values_860,37240
values_18,7463
values_173,95
values_454,29432
values_176,29432
values_698,95
values_869,1240
values_697,855
values_509,29432
values_189,14847
values_714,19895
values_270,343
values_863,1727
values_548,37240
values_359,10735
values_512,560
values_656,192
values_684,7463
values_171,19895
values_675,10735
values_657,22800
values_333,12680
values_599,343
values_129,46320
values_886,12680
values_107,6112
values_272,37240
values_52,29432
values_819,2328
values_682,17248
values_44,37240
values_914,855
values_346,6112
values_151,22800
values_550,1240
values_326,4935
values_836,9000
values_437,12680
values_984,41615
values_17,14847
values_748,41615
values_581,4935
values_705,1240
values_121,3920
values_219,855
values_321,343
values_843,12680
values_606,192
values_898,29432
values_601,343
values_36,1727
values_282,37240
values_395,41615
values_449,1240
values_209,17248
values_956,855
values_579,46320
values_484,343
values_521,29432
values_617,25975
values_516,33183
values_358,9000
values_335,41615
values_139,3920
values_992,4935
values_211,6112
values_507,1727
values_921,46320
values_138,41615
values_275,560
values_614,25975
values_49,12680
values_227,855
values_203,14847
values_172,560
values_86,33183
values_178,855
values_978,46320
values_253,3055
values_291,192
values_911,29432
values_230,192
values_318,855
values_798,4935
values_638,1240
values_112,14847
values_201,25975
values_629,12680
values_337,29432
values_37,3920
values_56,19895
values_316,7463
values_829,10735
values_63,95
values_35,40
values_519,10735
values_481,343
values_278,22800
values_186,7463
values_702,560
values_722,3055
values_97,22800
values_329,29432
values_75,10735
values_560,29432
values_612,95
values_421,1727
values_639,3920
values_939,7463
values_198,3920
values_840,3055
values_415,33183
values_405,12680
values_100,25975
values_726,17248
values_265,6112
values_743,37240
values_436,29432
values_583,12680
values_525,10735
values_677,343
values_289,192
values_255,2328
values_529,6112
values_826,560
values_362,9000
values_355,95
values_506,560
values_315,17248
values_604,192
values_57,855
values_133,19895
values_787,343
values_799,29432
values_765,855
values_887,9000
values_952,10735
values_631,12680
values_306,855
values_497,41615
values_821,19895
values_618,22800
values_271,29432
values_645,10735
values_985,40
values_400,12680
values_562,7463
values_590,12680
values_648,3055
values_325,1240
values_883,37240
values_827,40
values_854,37240
values_307,95
values_88,14847
values_958,560
values_251,17248
values_902,3920
values_680,33183
values_884,3055
values_901,855
values_354,4935
values_420,14847
values_103,40
values_10,29432
values_474,37240
values_53,33183
values_8,40
values_39,46320
values_755,343
values_124,1240
values_841,33183
values_510,9000
values_989,1727
values_706,95
values_257,343
values_811,3920
values_111,17248
values_47,3055
values_928,9000
values_561,41615
values_383,3920
values_498,3055
values_60,3920
values_737,14847
values_624,12680
values_973,3055
values_472,9000
values_280,7463
values_389,3055
values_651,14847
values_642,40
values_668,40
values_551,29432
values_750,22800
values_592,192
values_89,37240
values_411,25975
values_620,2328
values_357,14847
values_247,3920
values_692,14847
values_572,95
values_757,560
values_566,2328
values_216,29432
values_951,10735
values_910,37240
values_338,1727
values_461,14847
values_730,10735
values_734,29432
values_51,6112
values_678,2328
values_327,6112
values_473,10735
values_453,95
values_154,192
values_452,7463
values_221,95
values_323,1240
values_844,343
values_673,19895
values_427,3920
values_933,33183
values_802,4935
values_852,343
values_487,22800
values_762,1240
values_515,10735
values_479,855
values_948,2328
values_467,855
values_14,25975
values_868,855
values_188,192
values_489,19895
values_865,22800
values_728,29432
values_996,37240
values_277,10735
values_936,4935
values_554,33183
values_763,560
values_834,1240
values_613,12680
values_907,6112
values_825,4935
values_308,3920
values_294,192
values_522,22800
values_322,17248
values_28,1240
values_760,9000
values_559,29432
values_685,22800
values_908,7463
values_919,10735
values_724,95
values_947,95
values_214,2328
values_468,560
values_967,343
values_234,41615
values_983,40
values_719,41615
values_110,25975
values_235,37240
values_588,2328
values_185,95
values_732,19895
values_896,95
values_888,25975
values_923,12680
values_767,95
values_179,7463
values_195,9000
values_148,41615
values_917,29432
values_634,25975
values_157,33183
values_314,25975
values_879,3920
values_16,4935
values_839,37240
values_150,17248
values_835,37240
values_161,10735
values_34,17248
values_959,14847
values_264,40
values_123,9000
values_623,14847
values_187,17248
values_575,3055
values_466,2328
values_621,46320
values_82,343
values_352,6112
values_779,95
values_946,560
values_756,343
values_502,855
values_641,29432
values_882,46320
values_46,3055
values_721,33183
values_105,6112
values_284,95
values_295,95
values_423,10735
values_544,1240
values_384,3920
values_206,29432
values_817,7463
values_788,33183
values_205,343
values_243,29432
values_619,95
values_514,41615
values_703,22800
values_605,7463
values_659,855
values_929,17248
values_365,10735
values_495,17248
values_431,37240
values_482,37240
values_611,1240
values_846,192
values_27,343
values_736,40
values_815,12680
values_145,29432
values_582,12680
values_492,22800
values_881,855
values_237,560
values_409,2328
values_108,9000
values_299,25975
values_20,12680
values_485,6112
values_303,37240
values_425,41615
values_597,343
values_517,25975
values_672,855
values_340,41615
values_339,40
values_424,17248
values_9,19895
values_587,46320
values_417,2328
values_116,1240
values_475,192
values_184,1727
values_223,46320
values_804,9000
values_374,17248
values_864,6112
values_444,41615
values_92,19895
values_773,14847
values_131,343
values_710,6112
values_693,29432
values_944,95
values_573,22800
values_712,7463
values_718,19895
values_3,6112
values_805,1727
values_98,2328
values_304,25975
values_897,1240
values_153,855
values_368,22800
values_689,95
values_830,41615
values_29,10735
values_301,40
values_286,3055
values_580,29432
values_593,33183
values_80,560
values_416,1240
values_305,10735
values_142,1240
values_800,17248
values_661,9000
values_73,192
values_297,37240
values_167,95
values_594,95
values_367,10735
values_552,37240
values_608,12680
values_797,41615
values_288,33183
values_764,4935
values_622,41615
values_785,25975
values_676,9000
values_330,33183
values_595,25975
values_968,41615
values_503,12680
values_378,9000
values_610,3055
