id,cInstr
values_445,25
values_662,222
values_403,608
values_640,17
values_59,85
values_490,52
values_194,411
values_751,224
values_663,25
values_938,43
values_532,542
values_885,555
values_713,274
values_193,80
values_650,340
values_564,508
values_267,22
values_147,87
values_709,427
values_857,448
values_334,280
values_965,39
values_824,36
values_784,64
values_229,19
values_538,279
values_463,370
values_741,225
values_85,398
values_493,748
values_794,267
values_202,302
values_74,82
values_410,607
values_469,35
values_394,87
values_149,184
values_945,84
values_293,22
values_456,14
values_975,840
values_547,617
values_164,326
values_720,620
values_833,361
values_90,444
values_954,396
values_483,145
values_990,188
values_113,301
values_878,81
values_942,649
values_126,181
values_666,282
values_960,126
values_783,14
values_735,95
values_439,22
values_860,448
values_18,186
values_173,171
values_454,508
values_176,78
values_698,66
values_869,185
values_697,61
values_509,142
values_189,39
values_714,298
values_270,344
values_863,769
values_548,63
values_359,14
values_512,461
values_656,212
values_684,720
values_171,17
values_675,605
values_657,163
values_333,278
values_599,452
values_129,265
values_886,126
values_107,166
values_272,338
values_52,570
values_819,176
values_682,140
values_44,536
values_914,345
values_346,14
values_151,373
values_550,331
values_326,192
values_836,203
values_437,778
values_984,426
values_17,211
values_748,453
values_581,353
values_705,171
values_121,39
values_219,564
values_321,292
values_843,488
values_606,417
values_898,213
values_601,579
values_36,39
values_282,750
values_395,66
values_449,503
values_209,233
values_956,105
values_579,14
values_484,168
values_521,135
values_617,469
values_516,75
values_358,22
values_335,93
values_139,612
values_992,566
values_211,211
values_507,78
values_921,268
values_138,559
values_275,135
values_614,450
values_49,49
values_227,241
values_203,17
values_172,28
values_86,17
values_178,17
values_978,353
values_253,60
values_291,84
values_911,263
values_230,218
values_318,637
values_798,360
values_638,487
values_112,101
values_201,22
values_629,25
values_337,248
values_37,654
values_56,295
values_316,197
values_829,17
values_63,14
values_35,173
values_519,286
values_481,44
values_278,519
values_186,237
values_702,135
values_722,194
values_97,264
values_329,429
values_75,14
values_560,38
values_612,328
values_421,321
values_639,605
values_939,17
values_198,182
values_840,93
values_415,394
values_405,61
values_100,17
values_726,495
values_265,120
values_743,41
values_436,519
values_583,80
values_525,361
values_677,370
values_289,326
values_255,421
values_529,797
values_826,481
values_362,343
values_355,456
values_506,33
values_315,71
values_604,410
values_57,52
values_133,477
values_787,120
values_799,398
values_765,22
values_887,106
values_952,622
values_631,83
values_306,273
values_497,488
values_821,333
values_618,661
values_271,129
values_645,590
values_985,86
values_400,61
values_562,262
values_590,178
values_648,35
values_325,44
values_883,17
values_827,306
values_854,88
values_307,236
values_88,25
values_958,255
values_251,115
values_902,834
values_680,64
values_884,95
values_901,165
values_354,54
values_420,485
values_103,144
values_10,308
values_474,14
values_53,52
values_8,114
values_39,317
values_755,214
values_124,593
values_841,272
values_510,101
values_989,41
values_706,22
values_257,112
values_811,203
values_111,619
values_47,33
values_928,115
values_561,408
values_383,119
values_498,28
values_60,77
values_737,247
values_624,300
values_973,466
values_472,707
values_280,241
values_389,58
values_651,578
values_642,659
values_668,678
values_551,89
values_750,708
values_592,53
values_89,115
values_411,471
values_620,338
values_357,227
values_247,406
values_692,174
values_572,560
values_757,304
values_566,382
values_216,141
values_951,64
values_910,227
values_338,14
values_461,101
values_730,129
values_734,443
values_51,200
values_678,225
values_327,24
values_473,204
values_453,22
values_154,678
values_452,41
values_221,220
values_323,629
values_844,556
values_673,120
values_427,332
values_933,56
values_802,528
values_852,601
values_487,706
values_762,718
values_515,93
values_479,294
values_948,64
values_467,528
values_14,61
values_868,542
values_188,295
values_489,517
values_865,30
values_728,323
values_996,583
values_277,14
values_936,204
values_554,290
values_763,220
values_834,44
values_613,206
values_907,358
values_825,132
values_308,14
values_294,125
values_522,271
values_322,387
values_28,708
values_760,109
values_559,108
values_685,55
values_908,739
values_919,119
values_724,852
values_947,438
values_214,17
values_468,30
values_967,280
values_234,74
values_983,448
values_719,146
values_110,345
values_235,90
values_588,89
values_185,402
values_732,14
values_896,123
values_888,238
values_923,198
values_767,71
values_179,453
values_195,472
values_148,17
values_917,413
values_634,162
values_157,55
values_314,92
values_879,293
values_16,161
values_839,38
values_150,323
values_835,427
values_161,201
values_34,469
values_959,693
values_264,760
values_123,66
values_623,47
values_187,549
values_575,327
values_466,255
values_621,384
values_82,14
values_352,393
values_779,602
values_946,14
values_756,47
values_502,498
values_641,227
values_882,42
values_46,461
values_721,22
values_105,198
values_284,418
values_295,611
values_423,288
values_544,35
values_384,44
values_206,169
values_817,409
values_788,529
values_205,72
values_243,131
values_619,259
values_514,22
values_703,89
values_605,379
values_659,35
values_929,163
values_365,71
values_495,373
values_431,681
values_482,154
values_611,599
values_846,72
values_27,63
values_736,62
values_815,67
values_145,36
values_582,244
values_492,63
values_881,694
values_237,90
values_409,323
values_108,235
values_299,107
values_20,76
values_485,50
values_303,230
values_425,36
values_597,540
values_517,263
values_672,307
values_340,520
values_339,461
values_424,610
values_9,692
values_587,849
values_417,33
values_116,155
values_475,386
values_184,662
values_223,596
values_804,96
values_374,33
values_864,41
values_444,572
values_92,318
values_773,49
values_131,66
values_710,431
values_693,627
values_944,326
values_573,89
values_712,268
values_718,235
values_3,753
values_805,75
values_98,66
values_304,298
values_897,36
values_153,40
values_368,285
values_689,750
values_830,75
values_29,86
values_301,146
values_286,49
values_580,253
values_593,519
values_80,558
values_416,445
values_305,238
values_142,531
values_800,149
values_661,117
values_73,369
values_297,350
values_167,133
values_594,306
values_367,17
values_552,637
values_608,370
values_797,496
values_288,640
values_764,381
values_622,27
values_785,60
values_676,281
values_330,50
values_595,30
values_968,358
values_503,80
values_378,177
values_610,405
