id,MSE,MAE,RMSE,time
Single:assemblyInstr,25192560640.0,38377.484375,158721.640625,5.1713478565216064
"Single, feature removed:assemblyInstr",79.66666412353516,7.933333396911621,8.925618171691895,4.93545937538147
Single:clockCycles,45232463872.0,51509.34765625,212679.25,4.896963357925415
"Single, feature removed:clockCycles",0.4000000059604645,0.2666666805744171,0.6324555277824402,4.733663320541382
Single:text,760282.5625,764.1266479492188,871.9418334960938,4.347864627838135
"Single, feature removed:text",0.800000011920929,0.800000011920929,0.8944271802902222,5.078481197357178
Single:data,47329.72265625,103.81666564941406,217.553955078125,4.636059999465942
"Single, feature removed:data",0.2666666805744171,0.2666666805744171,0.5163977742195129,4.2769553661346436
Single:bss,4927.89697265625,25.712749481201172,70.19898223876953,4.328554630279541
"Single, feature removed:bss",3.200000047683716,1.7333333492279053,1.7888543605804443,6.085342884063721
