id,cInstr
values_915,18054
values_99,2365
values_771,3920
values_96,2905
values_768,2893
values_67,3465
values_565,57733
values_848,2311
values_114,93761
values_61,3171
values_511,71670
values_729,44022
values_460,71566
values_832,3187
values_348,2899
values_182,57695
values_986,153
values_180,33223
values_930,341
values_274,18136
values_309,697
values_496,2318
values_165,3793
values_553,2375
values_870,8897
values_795,56391
values_361,2371
values_302,93506
values_586,3465
values_880,57484
values_665,186034
values_527,2354
values_372,9063
values_382,33245
values_43,186339
values_935,24855
values_2,153
values_790,6003
values_152,56428
values_871,8922
values_434,27015
values_775,3749
values_500,344
values_220,2277
values_875,13001
values_249,3879
values_808,3800
values_859,13022
values_539,185131
values_635,12958
values_311,2348
values_183,2627
values_54,71647
values_390,2907
values_890,2363
values_711,3801
values_471,335
values_995,27237
values_443,33241
values_464,2330
values_774,352
values_200,56694
values_747,137011
values_758,94533
values_30,93571
values_820,695
values_393,56418
values_576,8982
values_445,3485
values_662,56388
values_403,2353
values_640,3179
values_59,93701
values_490,57634
values_194,44312
values_751,2611
values_663,3469
values_938,2655
values_532,12895
values_885,1345
values_713,93690
values_193,33224
values_650,716
values_564,2377
values_267,344
values_147,6017
values_709,185809
values_857,151
values_334,151
values_965,3185
values_824,57215
values_784,57489
values_229,136020
values_538,3147
values_463,3171
values_741,18091
values_85,3780
values_493,340
values_794,3804
values_202,151
values_74,2352
values_410,3773
values_469,43812
values_394,25034
values_149,43645
values_945,4119
values_293,339
values_456,2385
values_975,3823
values_547,26967
values_164,153
values_720,3837
values_833,2899
values_90,342
values_954,696
values_483,1311
values_990,2278
values_113,153
values_878,58011
values_942,8899
values_126,24950
values_666,57378
values_960,3167
values_783,151
values_735,58022
values_439,33307
values_860,699
values_18,3467
values_173,707
values_454,43621
values_176,1331
values_698,57359
values_869,185545
values_697,2631
values_509,136329
values_189,27286
values_714,3465
values_270,3848
values_863,24847
values_548,13020
values_359,33307
values_512,1339
values_656,135592
values_684,5960
values_171,136686
values_675,4099
values_657,2909
values_333,93377
values_599,1306
values_129,3775
values_886,136336
values_107,4091
values_272,2306
values_52,135711
values_819,1306
values_682,2615
values_44,9042
values_914,2292
values_346,33200
values_151,71348
values_550,2367
values_326,71946
values_836,33182
values_437,18238
values_984,71704
values_17,43590
values_748,24942
values_581,12827
values_705,27090
values_121,43666
values_219,57287
values_321,93587
values_843,56643
values_606,4099
values_898,33161
values_601,18131
values_36,43747
values_282,18180
values_395,4101
values_449,43675
values_209,43561
values_956,3481
values_579,2619
values_484,9060
values_521,185584
values_617,13035
values_516,335
values_358,8940
values_335,4089
values_139,153
values_992,12994
values_211,3792
values_507,2374
values_921,2907
values_138,135978
values_275,153
values_614,186370
values_49,56763
values_227,2907
values_203,151
values_172,135979
values_86,1342
values_178,93352
values_978,56738
values_253,43813
values_291,43504
values_911,71612
values_230,153
values_318,3992
values_798,8848
values_638,2901
values_112,136324
values_201,2631
values_629,2357
values_337,2913
values_37,3171
values_56,57617
values_316,2383
values_829,2265
values_63,2885
values_35,2363
values_519,3479
values_481,2893
values_278,346
values_186,71957
values_702,722
values_722,3497
values_97,6037
values_329,57808
values_75,43592
values_560,12931
values_612,12938
values_421,4093
values_639,57661
values_939,2891
values_198,151
values_840,2885
values_415,12879
values_405,2917
values_100,43456
values_726,56469
values_265,3467
values_743,2309
values_436,18182
values_583,3195
values_525,1337
values_677,736
values_289,72031
values_255,2905
values_529,2613
values_826,56131
values_362,136731
values_355,43960
values_506,3761
values_315,27325
values_604,12825
values_57,56477
values_133,93779
values_787,3795
values_799,153
values_765,2619
values_887,186416
values_952,731
values_631,3179
values_306,2897
values_497,5948
values_821,341
values_618,43875
values_271,1302
values_645,136413
values_985,721
values_400,18089
values_562,2895
values_590,2895
values_648,9133
values_325,27440
values_883,341
values_827,8964
values_854,33675
values_307,2635
values_88,337
values_958,3779
values_251,12967
values_902,3463
values_680,691
values_884,94263
values_901,8921
values_354,33259
values_420,8833
values_103,5938
values_10,342
values_474,2901
values_53,2286
values_8,5985
values_39,43615
values_755,27014
values_124,33542
values_841,44026
values_510,56489
values_989,71364
values_706,2367
values_257,24753
values_811,3777
values_111,3773
values_47,9022
values_928,43799
values_561,136803
values_383,151
values_498,1291
values_60,185144
values_737,24822
values_624,702
values_973,343
values_472,2913
values_280,2344
values_389,6089
values_651,18061
values_642,3177
values_668,4125
values_551,2383
values_750,3771
values_592,136316
values_89,18168
values_411,153
values_620,56111
values_357,135697
values_247,185382
values_692,2617
values_572,1312
values_757,4123
values_566,2631
values_216,348
values_951,3808
values_910,3461
values_338,2615
values_461,8863
values_730,698
values_734,3483
values_51,18588
values_678,335
values_327,3185
values_473,56441
values_453,72258
values_154,8934
values_452,2359
values_221,3823
values_323,3473
values_844,151
values_673,3135
values_427,3187
values_933,341
values_802,72577
values_852,3177
values_487,2925
values_762,3797
values_515,5969
values_479,71820
values_948,185702
values_467,12919
values_14,185369
values_868,94995
values_188,2383
values_489,33187
values_865,13123
values_728,2294
values_996,57897
values_277,56273
values_936,3175
values_554,12885
values_763,344
values_834,2903
values_613,93388
values_907,3167
values_825,6001
values_308,3463
values_294,8996
values_522,24788
values_322,2303
values_28,2891
values_760,8980
values_559,43532
values_685,153
values_908,72492
values_919,1327
values_724,12926
values_947,3165
values_214,57898
values_468,1321
values_967,27183
values_234,33278
values_983,3759
values_719,12929
values_110,2371
values_235,2627
values_588,2371
values_185,185572
values_732,3161
values_896,5969
values_888,2308
values_923,25003
values_767,3763
values_179,341
values_195,186287
values_148,1312
values_917,93544
values_634,57795
values_157,186196
values_314,186480
values_879,25170
values_16,12990
