id,cInstr
values_372,169
values_382,63
values_43,33
values_935,47
values_2,1892
values_790,132
values_152,83
values_871,376
values_434,2164
values_775,289
values_500,2077
values_220,1687
values_875,1440
values_249,1641
values_808,1527
values_859,839
values_539,33
values_635,425
values_311,1796
values_183,83
values_54,92
values_390,17
values_890,2008
values_711,2206
values_471,1976
values_995,17
values_443,47
values_464,668
values_774,1126
values_200,1890
values_747,474
values_758,2852
values_30,163
values_820,1391
values_393,1426
values_576,2653
values_445,36
values_662,42
values_403,154
values_640,1054
values_59,148
values_490,2179
values_194,1587
values_751,2230
values_663,140
values_938,410
values_532,862
values_885,61
values_713,1123
values_193,665
values_650,587
values_564,953
values_267,55
values_147,36
values_709,991
values_857,131
values_334,868
values_965,209
values_824,2525
values_784,1216
values_229,764
values_538,1451
values_463,187
values_741,458
values_85,17
values_493,282
values_794,2203
values_202,571
values_74,33
values_410,39
values_469,147
values_394,1762
values_149,17
values_945,698
values_293,614
values_456,1393
values_975,72
values_547,338
values_164,1918
values_720,1394
values_833,1371
values_90,2082
values_954,378
values_483,277
values_990,205
values_113,409
values_878,765
values_942,2169
values_126,337
values_666,1707
values_960,237
values_783,1038
values_735,208
values_439,1375
values_860,17
values_18,1463
values_173,96
values_454,1036
values_176,39
values_698,1900
values_869,227
values_697,2049
values_509,1437
values_189,1664
values_714,1831
values_270,1826
values_863,3111
values_548,141
values_359,1132
values_512,912
values_656,1789
values_684,77
values_171,413
values_675,155
values_657,1925
values_333,338
values_599,744
values_129,2356
values_886,23
values_107,119
values_272,2774
values_52,950
values_819,2425
values_682,1530
values_44,1108
values_914,558
values_346,283
values_151,330
values_550,17
values_326,328
values_836,1805
values_437,855
values_984,369
values_17,1124
values_748,33
values_581,1169
values_705,2441
values_121,713
values_219,475
values_321,125
values_843,2302
values_606,2022
values_898,2128
values_601,727
values_36,1565
values_282,1511
values_395,136
values_449,1583
values_209,1871
values_956,1772
values_579,1614
values_484,274
values_521,1519
values_617,673
values_516,158
values_358,449
values_335,314
values_139,221
values_992,779
values_211,2686
values_507,511
values_921,434
values_138,539
values_275,1764
values_614,250
values_49,1496
values_227,1495
values_203,55
values_172,450
values_86,1448
values_178,227
values_978,20
values_253,2831
values_291,557
values_911,33
values_230,2353
values_318,2268
values_798,2215
values_638,497
values_112,799
values_201,1837
values_629,183
values_337,122
values_37,1629
values_56,850
values_316,1343
values_829,1247
values_63,272
values_35,685
values_519,1161
values_481,2587
