id,clockCycles,assemblyInstr
values_91,5536,4198
values_137,13310,10111
values_42,1769,1336
values_13,1769,1336
values_577,2519,1906
values_41,15229,11572
values_809,9722,7381
values_414,1171,883
values_360,2519,1906
values_386,2519,1906
values_158,20932,15913
values_904,14283,10852
values_480,8901,6757
values_647,21878,16633
values_104,10543,8005
values_55,13310,10111
values_491,18094,13753
values_391,15229,11572
values_972,22797,17332
values_571,5536,4198
values_940,10543,8005
values_861,6384,4843
values_324,20932,15913
values_549,8053,6112
values_170,17148,13033
values_269,1171,883
values_442,22797,17332
values_520,12337,9370
values_455,15229,11572
values_31,15229,11572
values_971,8901,6757
values_397,10543,8005
values_254,14283,10852
values_616,22797,17332
values_66,1769,1336
values_943,19986,15193
values_117,6384,4843
values_451,21878,16633
values_643,546,409
values_688,1171,883
values_569,12337,9370
values_745,12337,9370
values_65,13310,10111
values_980,16202,12313
values_982,13310,10111
values_62,16202,12313
values_789,546,409
values_401,3242,2455
values_21,16202,12313
values_598,13310,10111
values_273,16202,12313
values_534,19013,14452
values_118,20932,15913
values_141,7232,5488
values_366,3242,2455
values_222,8901,6757
values_876,9722,7381
values_700,13310,10111
values_95,546,409
values_806,22797,17332
values_671,17148,13033
values_816,5536,4198
values_630,14283,10852
values_433,12337,9370
values_905,9722,7381
values_84,20932,15913
values_233,2519,1906
values_664,19013,14452
values_162,20932,15913
values_681,6384,4843
values_542,22797,17332
values_169,4661,3532
values_660,3242,2455
values_488,14283,10852
values_894,19013,14452
values_828,17148,13033
values_537,13310,10111
values_845,18094,13753
values_584,6384,4843
values_457,8901,6757
values_499,546,409
values_369,15229,11572
values_58,3242,2455
values_64,8901,6757
values_196,10543,8005
values_462,19013,14452
values_343,21878,16633
values_262,9722,7381
values_966,4661,3532
values_261,20932,15913
values_349,3965,3004
values_263,11337,8608
values_801,5536,4198
values_292,10543,8005
values_786,21878,16633
values_101,12337,9370
values_691,1171,883
values_926,7232,5488
values_754,10543,8005
values_215,16202,12313
values_977,3242,2455
values_850,19986,15193
values_646,16202,12313
values_628,21878,16633
values_941,19013,14452
values_353,1171,883
values_690,7232,5488
values_961,8901,6757
values_331,3242,2455
values_377,11337,8608
values_128,17148,13033
values_336,19013,14452
values_632,546,409
values_166,5536,4198
values_744,10543,8005
values_837,18094,13753
values_807,14283,10852
values_838,21878,16633
values_723,14283,10852
values_874,22797,17332
values_627,6384,4843
values_555,19986,15193
values_446,19013,14452
values_716,18094,13753
values_240,6384,4843
values_140,3965,3004
values_317,22797,17332
values_83,19013,14452
values_696,3965,3004
values_413,1171,883
values_94,7232,5488
values_937,17148,13033
values_199,22797,17332
values_596,17148,13033
values_0,6384,4843
values_953,17148,13033
values_906,3242,2455
values_742,1171,883
values_396,5536,4198
values_159,1171,883
values_238,1769,1336
values_136,19986,15193
values_915,14283,10852
values_99,8901,6757
values_771,15229,11572
values_96,4661,3532
values_768,22797,17332
values_67,8053,6112
values_565,22797,17332
values_848,1171,883
values_114,19013,14452
values_61,1171,883
values_511,19013,14452
values_729,8901,6757
values_460,13310,10111
values_832,15229,11572
values_348,1769,1336
values_182,9722,7381
values_986,16202,12313
values_180,5536,4198
values_930,5536,4198
values_274,3965,3004
values_309,9722,7381
values_496,13310,10111
values_165,19013,14452
values_553,4661,3532
values_870,13310,10111
values_795,5536,4198
values_361,8901,6757
values_302,10543,8005
values_586,3965,3004
values_880,9722,7381
values_665,8053,6112
values_527,22797,17332
values_372,20932,15913
values_382,15229,11572
values_43,22797,17332
values_935,18094,13753
values_2,16202,12313
values_790,1769,1336
values_152,3242,2455
values_871,3242,2455
values_434,16202,12313
values_775,22797,17332
values_500,546,409
values_220,20932,15913
values_875,11337,8608
values_249,3242,2455
values_808,4661,3532
values_859,14283,10852
values_539,6384,4843
values_635,3965,3004
values_311,546,409
values_183,22797,17332
values_54,3965,3004
values_390,4661,3532
values_890,3965,3004
values_711,3965,3004
values_471,3965,3004
values_995,6384,4843
values_443,20932,15913
values_464,1769,1336
values_774,19013,14452
values_200,15229,11572
values_747,21878,16633
values_758,19013,14452
values_30,1171,883
values_820,10543,8005
values_393,21878,16633
values_576,19013,14452
values_445,3965,3004
values_662,12337,9370
values_403,5536,4198
values_640,1171,883
values_59,22797,17332
values_490,18094,13753
values_194,12337,9370
values_751,3242,2455
values_663,18094,13753
values_938,19986,15193
values_532,14283,10852
values_885,7232,5488
values_713,17148,13033
values_193,22797,17332
values_650,16202,12313
values_564,9722,7381
values_267,3965,3004
values_147,1769,1336
values_709,20932,15913
values_857,2519,1906
values_334,8053,6112
values_965,546,409
values_824,8901,6757
values_784,19986,15193
values_229,13310,10111
values_538,4661,3532
values_463,1171,883
values_741,4661,3532
values_85,7232,5488
values_493,10543,8005
values_794,11337,8608
values_202,15229,11572
values_74,2519,1906
values_410,18094,13753
values_469,21878,16633
values_394,16202,12313
values_149,11337,8608
values_945,3965,3004
values_293,6384,4843
values_456,2519,1906
values_975,1769,1336
values_547,17148,13033
values_164,22797,17332
values_720,7232,5488
values_833,17148,13033
values_90,12337,9370
values_954,3965,3004
values_483,13310,10111
values_990,17148,13033
values_113,7232,5488
values_878,546,409
values_942,11337,8608
values_126,13310,10111
values_666,22797,17332
values_960,6384,4843
values_783,20932,15913
values_735,3965,3004
values_439,16202,12313
values_860,18094,13753
values_18,21878,16633
values_173,15229,11572
values_454,546,409
values_176,11337,8608
values_698,3965,3004
values_869,10543,8005
values_697,13310,10111
values_509,8901,6757
values_189,546,409
values_714,21878,16633
values_270,17148,13033
values_863,19986,15193
values_548,18094,13753
values_359,4661,3532
values_512,22797,17332
values_656,5536,4198
values_684,8901,6757
values_171,1171,883
values_675,1769,1336
values_657,9722,7381
values_333,546,409
values_599,1171,883
values_129,3242,2455
values_886,3965,3004
values_107,2519,1906
values_272,1769,1336
values_52,3965,3004
values_819,10543,8005
values_682,13310,10111
values_44,3242,2455
values_914,3242,2455
values_346,17148,13033
values_151,12337,9370
values_550,546,409
values_326,19986,15193
values_836,16202,12313
values_437,20932,15913
values_984,20932,15913
values_17,11337,8608
values_748,7232,5488
values_581,7232,5488
values_705,2519,1906
values_121,2519,1906
values_219,19013,14452
values_321,6384,4843
values_843,10543,8005
values_606,20932,15913
values_898,1171,883
values_601,1171,883
values_36,12337,9370
values_282,3965,3004
values_395,5536,4198
values_449,14283,10852
values_209,19986,15193
values_956,18094,13753
values_579,3965,3004
values_484,7232,5488
values_521,8901,6757
values_617,5536,4198
values_516,16202,12313
values_358,19986,15193
values_335,3242,2455
values_139,10543,8005
values_992,14283,10852
values_211,3965,3004
values_507,13310,10111
values_921,20932,15913
values_138,546,409
values_275,20932,15913
values_614,16202,12313
values_49,1171,883
values_227,17148,13033
values_203,19986,15193
values_172,19986,15193
values_86,14283,10852
values_178,19013,14452
values_978,14283,10852
values_253,18094,13753
values_291,2519,1906
values_911,7232,5488
values_230,15229,11572
values_318,20932,15913
values_798,3965,3004
values_638,16202,12313
values_112,19986,15193
values_201,22797,17332
values_629,20932,15913
values_337,18094,13753
values_37,6384,4843
values_56,18094,13753
values_316,13310,10111
values_829,13310,10111
values_63,12337,9370
values_35,12337,9370
values_519,4661,3532
values_481,18094,13753
values_278,8053,6112
values_186,19986,15193
values_702,15229,11572
values_722,7232,5488
values_97,5536,4198
values_329,20932,15913
values_75,6384,4843
values_560,13310,10111
values_612,5536,4198
values_421,2519,1906
values_639,14283,10852
values_939,14283,10852
values_198,22797,17332
values_840,3242,2455
values_415,2519,1906
values_405,4661,3532
values_100,3965,3004
values_726,21878,16633
values_265,19986,15193
values_743,13310,10111
values_436,6384,4843
values_583,19013,14452
values_525,16202,12313
values_677,7232,5488
values_289,4661,3532
values_255,13310,10111
values_529,7232,5488
values_826,2519,1906
values_362,16202,12313
values_355,6384,4843
values_506,21878,16633
values_315,6384,4843
values_604,21878,16633
values_57,3965,3004
values_133,1769,1336
values_787,1769,1336
values_799,7232,5488
values_765,2519,1906
values_887,5536,4198
values_952,2519,1906
values_631,1769,1336
values_306,6384,4843
values_497,19013,14452
values_821,3965,3004
values_618,22797,17332
values_271,5536,4198
values_645,13310,10111
values_985,5536,4198
values_400,4661,3532
values_562,8901,6757
values_590,4661,3532
values_648,7232,5488
values_325,12337,9370
values_883,8053,6112
values_827,9722,7381
values_854,20932,15913
values_307,14283,10852
values_88,6384,4843
values_958,21878,16633
values_251,14283,10852
values_902,9722,7381
values_680,14283,10852
values_884,3965,3004
values_901,14283,10852
values_354,1171,883
values_420,546,409
values_103,9722,7381
values_10,13310,10111
values_474,7232,5488
values_53,7232,5488
values_8,546,409
values_39,8901,6757
values_755,7232,5488
values_124,3965,3004
values_841,14283,10852
values_510,3965,3004
values_989,546,409
values_706,21878,16633
values_257,2519,1906
values_811,17148,13033
values_111,12337,9370
values_47,4661,3532
values_928,8901,6757
values_561,14283,10852
values_383,5536,4198
values_498,1171,883
values_60,546,409
values_737,21878,16633
values_624,22797,17332
values_973,1769,1336
values_472,3242,2455
values_280,10543,8005
values_389,18094,13753
values_651,11337,8608
values_642,3965,3004
values_668,3965,3004
values_551,16202,12313
values_750,14283,10852
values_592,17148,13033
values_89,2519,1906
values_411,19986,15193
values_620,1171,883
values_357,8901,6757
values_247,1171,883
values_692,20932,15913
values_572,4661,3532
values_757,16202,12313
values_566,17148,13033
values_216,9722,7381
values_951,2519,1906
values_910,3242,2455
values_338,6384,4843
values_461,3965,3004
values_730,22797,17332
values_734,10543,8005
values_51,8053,6112
values_678,8901,6757
values_327,19013,14452
values_473,20932,15913
values_453,1769,1336
values_154,3242,2455
values_452,3965,3004
values_221,8053,6112
values_323,1171,883
values_844,18094,13753
values_673,2519,1906
values_427,12337,9370
values_933,1769,1336
values_802,11337,8608
values_852,16202,12313
values_487,3242,2455
values_762,546,409
values_515,15229,11572
values_479,3242,2455
values_948,19986,15193
values_467,16202,12313
values_14,5536,4198
values_868,13310,10111
values_188,14283,10852
values_489,1769,1336
values_865,6384,4843
values_728,1171,883
values_996,17148,13033
values_277,3965,3004
values_936,11337,8608
values_554,11337,8608
values_763,14283,10852
values_834,1171,883
values_613,17148,13033
values_907,3965,3004
values_825,13310,10111
values_308,4661,3532
values_294,8901,6757
values_522,19013,14452
values_322,22797,17332
values_28,16202,12313
values_760,19986,15193
values_559,13310,10111
values_685,2519,1906
values_908,12337,9370
values_919,10543,8005
values_724,3242,2455
values_947,14283,10852
values_214,9722,7381
values_468,18094,13753
values_967,12337,9370
values_234,8901,6757
values_983,5536,4198
values_719,21878,16633
values_110,15229,11572
values_235,1171,883
values_588,2519,1906
values_185,15229,11572
values_732,9722,7381
values_896,22797,17332
values_888,15229,11572
values_923,6384,4843
values_767,4661,3532
values_179,20932,15913
values_195,15229,11572
values_148,6384,4843
values_917,3242,2455
values_634,1769,1336
values_157,8901,6757
values_314,18094,13753
values_879,22797,17332
values_16,14283,10852
values_839,15229,11572
values_150,4661,3532
values_835,12337,9370
values_161,3965,3004
values_34,2519,1906
values_959,20932,15913
values_264,22797,17332
values_123,16202,12313
values_623,20932,15913
values_187,5536,4198
values_575,546,409
values_466,16202,12313
values_621,11337,8608
values_82,12337,9370
values_352,19013,14452
values_779,6384,4843
values_946,1769,1336
values_756,2519,1906
values_502,22797,17332
values_641,19986,15193
values_882,2519,1906
