feature	ExtraTreesRegressor	GradientBoostingRegressor	AdaBoostRegressor	RandomForestRegressor	sum	avg
M_VAL_8	0.02276279988716238	0.019515444943947146	0.0013458616558747639	0.023581922908686694	0.06720602939567097	0.016801507348917742
M_VAL_9	0.016701904519451062	0.005804050095248175	0.0	0.017150012266921658	0.039655966881620895	0.009913991720405224
M_VAL_10	0.017169711555616755	0.007281725756990861	0.0019533648671252665	0.019845242237960314	0.0462500444176932	0.0115625111044233
M_VAL_11	0.020420398395725216	0.016125107363964167	0.001536610161146372	0.021908060770722635	0.0599901766915584	0.0149975441728896
M_VAL_12	0.018423489129955322	0.010079863467162728	0.006050603412498506	0.01809334082449583	0.052647296834112386	0.013161824208528097
M_VAL_13	0.00939580543310123	0.004156937921087924	0.0	0.0067217686241212386	0.020274511978310393	0.005068627994577598
M_VAL_14	0.01801377377495665	0.011524274638845975	0.007715681164787325	0.021066236787936985	0.058319966366526935	0.014579991591631734
M_VAL_15	0.006951420210425065	0.0005809969677646801	0.0	0.006392023724351302	0.013924440902541049	0.003481110225635262
M_VAL_16	0.016745284571374305	0.010513774380841895	0.0036073937786212963	0.017967984504554686	0.04883443723539218	0.012208609308848045
M_VAL_17	0.01984062476368555	0.008374695154201656	0.0017094689202292474	0.02730729538239605	0.0572320842205125	0.014308021055128125
M_VAL_18	0.021627788922565245	0.016833583978903915	0.004892452369709267	0.024476701282549026	0.06783052655372745	0.016957631638431864
M_VAL_19	0.016548739812669924	0.004318304973602845	0.0012442136457336912	0.01746940559386673	0.039580664025873194	0.009895166006468298
M_VAL_20	0.013337405394078985	0.003965847824964899	0.004907504015257041	0.011227546421110951	0.03343830365541188	0.00835957591385297
M_VAL_21	0.012652051834133067	0.010197941584685425	0.007971706381319185	0.008507231516793572	0.03932893131693125	0.009832232829232812
M_VAL_22	0.01488717205392983	0.019070684868493625	0.0024183485025307005	0.01808131979305588	0.05445752521801003	0.013614381304502508
M_VAL_23	0.009698932480990777	0.009295466874501928	0.001588252609992976	0.01147801699680458	0.03206066896229026	0.008015167240572565
M_VAL_24	0.01502555936082904	0.00445958622299755	0.0	0.012640051434185411	0.032125197018012	0.008031299254503
M_VAL_25	0.017272322344527097	0.0040680449902334385	0.0	0.019732394918261	0.04107276225302153	0.010268190563255383
M_VAL_26	0.015284466704479067	0.009803706904379544	0.0013301929052008685	0.022814970852277794	0.049233337366337275	0.012308334341584319
M_VAL_27	0.017303716664914003	0.0072947968482564825	0.0009360803424233218	0.021706162901420686	0.04724075675701449	0.011810189189253622
M_VAL_28	0.013461891380122952	0.011369504771459813	0.0009215266822384181	0.011119163558717657	0.03687208639253884	0.00921802159813471
M_VAL_29	0.009426128596190037	0.0010182811526117997	0.0	0.008152363778338608	0.018596773527140446	0.004649193381785112
M_VAL_31	0.009154096548041455	0.001791205489057681	0.002082829433849138	0.0095712140897145	0.022599345560662773	0.005649836390165693
M_VAL_32	0.01527049902368387	0.006083801673159695	0.0	0.01694165630418616	0.03829595700102972	0.00957398925025743
