feature	ExtraTreesRegressor	GradientBoostingRegressor	AdaBoostRegressor	RandomForestRegressor	sum	avg
M_VAL_16	0.01809472220324673	0.005625588623997819	0.004688925956399308	0.02022274890662976	0.04863198569027362	0.012157996422568405
M_VAL_17	0.02064432658097564	0.016481754418222496	0.0	0.025913273839323833	0.06303935483852197	0.01575983870963049
M_VAL_18	0.02115045191027259	0.01262927683405881	0.0033939665195629894	0.025147059714286726	0.06232075497818111	0.015580188744545278
M_VAL_19	0.017164977476126043	0.006772683688930918	0.002545465863790337	0.019173197948890934	0.045656324977738236	0.011414081244434559
M_VAL_20	0.014699757606185358	0.005868984434144128	0.006180360470864279	0.01298830753771946	0.03973741004891322	0.009934352512228305
M_VAL_21	0.01227091025082675	0.01001681949838408	0.006767828591867501	0.007449535663230801	0.03650509400430914	0.009126273501077285
M_VAL_22	0.013849974504478143	0.01928862316658286	0.003446397032764705	0.01822012641934131	0.05480512112316702	0.013701280280791754
M_VAL_23	0.010788795722986817	0.011213845736017034	0.0	0.01274339742403226	0.03474603888303611	0.008686509720759027
M_VAL_24	0.012962757554940132	0.0016766976490681469	0.0	0.012757327845871682	0.027396783049879962	0.0068491957624699906
M_VAL_25	0.01636965821329321	0.0034584880771115255	0.0	0.01642904608964641	0.03625719238005115	0.009064298095012788
M_VAL_26	0.015178644987954792	0.013476590134113191	0.0036297219935763105	0.020921516548092194	0.05320647366373649	0.013301618415934122
M_VAL_27	0.017206194829044317	0.008614967744733118	0.002925112963390267	0.01852967560942449	0.04727595114659219	0.011818987786648048
M_VAL_28	0.015209824373504129	0.010893391298250281	0.0026664987176822906	0.012893247504111064	0.04166296189354776	0.01041574047338694
M_VAL_29	0.0097911047300588	0.004510610997156306	0.0	0.006170334632071726	0.020472050359286835	0.005118012589821709
M_VAL_31	0.009649162297592684	0.004234047016737297	0.0055901179780081705	0.008725064079123941	0.028198391371462093	0.007049597842865523
M_VAL_32	0.014354877034489198	0.007044750885797008	0.0	0.016662997944184472	0.03806262586447068	0.00951565646611767
