feature	ExtraTreesRegressor	GradientBoostingRegressor	AdaBoostRegressor	RandomForestRegressor	sum	avg
V_VAL_5	5.565923188063682e-07	0.0	0.0	4.13709811508542e-06	4.693690433891788e-06	1.173422608472947e-06
V_VAL_6	1.760080573115371e-06	0.0	0.0	4.3483764324148e-06	6.108457005530171e-06	1.5271142513825428e-06
V_VAL_7	9.448477548912474e-07	0.0	0.0	5.968787376715739e-06	6.913635131606986e-06	1.7284087829017465e-06
V_VAL_8	1.7990738161135797e-06	6.492225868507047e-07	0.0	5.330651925919545e-06	7.77894832888383e-06	1.9447370822209577e-06
V_VAL_9	7.053200192420534e-06	7.69096644752525e-06	0.0	6.10713510925066e-06	2.085130174919644e-05	5.21282543729911e-06
V_VAL_10	1.165131934089165e-05	3.017762262478899e-06	0.0	3.680965419406865e-06	1.8350047022777415e-05	4.587511755694354e-06
V_VAL_11	6.630899366507537e-05	1.5642898501041002e-06	0.0	5.529516058048249e-06	7.340279957322771e-05	1.8350699893306927e-05
V_VAL_12	2.4470097624983944e-05	6.7721589776535815e-06	0.0	7.567185233410327e-06	3.880944183604785e-05	9.702360459011963e-06
V_VAL_13	1.0014804978097859e-05	1.1079190828886191e-05	0.0	6.993348177674917e-06	2.8087343984658964e-05	7.021835996164741e-06
V_VAL_14	3.87065860238334e-05	0.0	0.0	4.2517956277597335e-06	4.295838165159313e-05	1.0739595412898283e-05
V_VAL_15	0.00019465195438336574	1.594691886604379e-05	0.0	6.117652823398997e-06	0.00021671652607280854	5.4179131518202136e-05
V_VAL_16	1.6720397559539057e-05	0.0	0.0	2.632919685797215e-06	1.9353317245336273e-05	4.838329311334068e-06
V_VAL_17	0.000574811446909453	1.2565396762132472e-05	0.0	1.8967324305927097e-06	0.0005892735761021781	0.00014731839402554452
V_VAL_18	7.424218626956802e-05	1.3766341011700758e-06	0.0	2.999719477157344e-06	7.861853984789543e-05	1.9654634961973857e-05
V_VAL_19	3.0408656398174283e-05	5.850726329190154e-06	0.0	3.9664473718522564e-06	4.022583009921669e-05	1.0056457524804172e-05
