feature	ExtraTreesRegressor	GradientBoostingRegressor	AdaBoostRegressor	RandomForestRegressor	sum	avg
Loop	0.011326121877110714	0.006028097513384033	7.558788676193723e-06	0.0012996132304716368	0.018661391409642576	0.004665347852410644
Goto	0.018553541686037914	0.004498114158097814	0.0	0.003548235920303263	0.026599891764438992	0.006649972941109748
Assignment	0.010398871905791949	0.008013213984398004	0.01427430616180574	0.0014158514312589622	0.034102243483254656	0.008525560870813664
ExitPoint	0.015519597419010565	0.018303469642949058	0.027158249025062864	0.0031254440751270996	0.06410676016214958	0.016026690040537396
Function	0.024777982912647788	0.0012956142848850472	0.01126831712459001	0.006136769946193434	0.04347868426831628	0.01086967106707907
FunctionCall	0.020046192446836017	0.01459079015821203	0.06351032569578524	0.002304107522535939	0.10045141582336924	0.02511285395584231
PointerDereferencing	0.017897897063758442	0.02548603591905913	0.008069628166215244	0.02244504138751534	0.07389860253654816	0.01847465063413704
CyclomaticComplexity	0.014000346783515997	0.033443476705135616	0.009917889741959222	0.021071528965227317	0.07843324219583815	0.019608310548959538
SCALAR_INPUT	0.0017060664629867267	2.9177928035816216e-06	0.0	2.2127295578458444e-05	0.0017311115513687666	0.00043277788784219166
RANGE_SCALAR_VALUES	0.0037244855825285233	3.8474406534305365e-06	0.0	1.0376297938565617e-05	0.0037387093211205193	0.0009346773302801298
SCALAR_INDEX_INPUT	0.09510105961095039	0.09106233118372072	0.10640952767228382	0.09404408410891209	0.38661700257586695	0.09665425064396674
RANGE_SCALAR_INDEX_VALUES	0.12674731370982054	0.09562925183332473	0.11559082911111805	0.0994240852831319	0.43739147993739524	0.10934786998434881
ARRAY_INPUT	0.06254572247335827	0.05179370661469521	0.0828073780958232	0.10433007704449375	0.30147688422837043	0.07536922105709261
RANGE_ARRAY_INPUT	0.0007951415386269923	0.00027504385295147387	0.0	0.00022334120867798944	0.0012935266002564558	0.00032338165006411395
cInstr	0.0262125097633176	0.039417729930726314	0.010707418445437945	0.05313211945106497	0.12946977759054684	0.03236744439763671
SS_VAL_1	0.0	0.0	0.0	0.0	0.0	0.0
SV_VAL_1	2.6054541905030657e-05	2.455172222805605e-05	0.004234569408895479	0.0004409029784238593	0.004726078651452425	0.0011815196628631062
V_VAL_1	0.010887152420492796	0.025425458827692204	0.013596783166266722	0.02374189841247244	0.07365129282692416	0.01841282320673104
V_VAL_2	0.017457921455783464	0.03287500893731868	0.019892165094674102	0.037360725759318585	0.10758582124709484	0.02689645531177371
V_VAL_3	0.007961950617118662	0.005353946960059515	0.0033653413540739117	0.00993902171216104	0.026620260643413128	0.006655065160853282
V_VAL_4	0.0025246711758601654	0.0005186038712894609	0.00415386780391753	0.0077919183069515155	0.014989061158018673	0.003747265289504668
V_VAL_5	0.0036758898171872488	0.0002889056485831963	0.0	0.0012521215094428917	0.0052169169752133366	0.0013042292438033341
V_VAL_6	0.004440932218159127	0.00016428330427673205	0.0	0.001156242623341645	0.0057614581457775035	0.0014403645364443759
V_VAL_7	0.0014845534271077554	1.1998338920443047e-05	0.0	0.0011066983410025677	0.002603250107030766	0.0006508125267576915
V_VAL_8	0.0013120010847351405	0.00010397064380175116	0.0	0.0011647083242388447	0.002580680052775736	0.000645170013193934
V_VAL_9	0.0025207286960163976	0.0001563399471872336	0.0	0.0018205465928430233	0.004497615236046654	0.0011244038090116636
V_VAL_10	0.0015226407147042962	3.9035941787863854e-06	0.0	0.0021246723687529424	0.003651216677636025	0.0009128041694090063
V_VAL_11	0.0027385921819958105	5.03849985946126e-05	0.0	0.001725934459265069	0.004514911639855492	0.001128727909963873
V_VAL_12	0.003348142858376955	0.0002519005066254647	0.0	0.0012221452128492881	0.004822188577851708	0.001205547144462927
V_VAL_13	0.0025100790834173144	0.0	0.007786806141685088	0.0016619681794050377	0.01195885340450744	0.00298971335112686
V_VAL_14	0.00219068843902404	0.0	0.0	0.001173872682347438	0.003364561121371478	0.0008411402803428695
V_VAL_15	0.0017388028219099273	0.0001222838514113122	0.0	0.001174118183141239	0.0030352048564624787	0.0007588012141156197
V_VAL_16	0.002200283227178638	0.0003672528777786805	0.0	0.0009422363086430995	0.003509772413600418	0.0008774431034001046
V_VAL_17	0.0017409884612944095	3.231131391737615e-05	0.0	0.0008313160795018711	0.002604615854713657	0.0006511539636784142
V_VAL_18	0.0011672446760496499	0.0011061370241109002	0.00013445527807652373	0.0007511157295767504	0.003158952707813824	0.000789738176953456
V_VAL_19	0.0010749949561668568	0.00017618501437997218	0.0	0.0006469206310366958	0.0018981006015835248	0.0004745251503958812
V_VAL_20	0.0016243555339163647	0.00027957247817112435	0.0	0.0006432444551318775	0.0025471724672193664	0.0006367931168048416
V_VAL_21	0.0012796008764930436	0.001247050959138236	0.0	0.0006955310298260832	0.003222182865457363	0.0008055457163643407
V_VAL_22	0.0010567750902930485	5.076442771240359e-05	0.0	0.0005577250762032762	0.0016652645942087283	0.0004163161485521821
V_VAL_23	0.0010345229300681702	0.00032432102502034075	0.0	0.000539864130017348	0.0018987080851058592	0.0004746770212764648
V_VAL_24	0.000619698782493426	0.0002382671840936784	0.0	0.00036161177807472847	0.001219577744661833	0.00030489443616545824
V_VAL_25	0.0005215479528781551	0.00010102252802422169	0.0	0.0002441492722810248	0.0008667197531834016	0.0002166799382958504
V_VAL_26	0.00041617078073312756	0.0004378770073543384	0.0	0.00014151184424780253	0.0009955596323352686	0.00024888990808381715
V_VAL_27	0.00022109957429078706	8.511509887241748e-05	0.0	7.863771563847368e-05	0.0003848523888016782	9.621309720041956e-05
V_VAL_28	4.205891315106734e-05	5.932701886369262e-06	0.0	2.880432343148012e-05	7.679593846891671e-05	1.9198984617229178e-05
M_VAL_1	0.003664780833933802	0.012598602367652707	0.0	0.00334507078619944	0.01960845398778595	0.004902113496946488
M_VAL_2	0.029994106172992887	0.0	0.0	0.00010750310377998456	0.03010160927677287	0.0075254023191932175
M_VAL_3	0.0005900320240020336	2.1770743786983264e-18	0.0	0.0009764203286762057	0.0015664523526782415	0.0003916130881695604
M_VAL_4	0.0001803789293780372	0.0	0.0	0.00012744087317338745	0.00030781980255142465	7.695495063785616e-05
M_VAL_5	0.0006148448698720148	2.3419571286802187e-05	0.0	8.220591279396166e-05	0.0007204703539527786	0.00018011758848819465
M_VAL_6	0.0017252817543797175	0.00016596283995538963	0.0	0.00022582567680958863	0.0021170702711446956	0.0005292675677861739
M_VAL_7	2.022824744188637e-05	1.2336133933558172e-05	0.0	7.218597487116673e-06	3.978297886256121e-05	9.945744715640303e-06
M_VAL_8	0.00017292637034919684	2.1366014376971785e-06	0.0	0.00019884931884107658	0.0003739122906279706	9.347807265699265e-05
M_VAL_9	0.003316488174065701	6.234134417222129e-05	5.800685507682029e-07	0.00044254557721533426	0.003821955164004025	0.0009554887910010062
M_VAL_10	0.0030707966520620504	0.00033233816072294613	0.0	7.868213535850914e-05	0.0034818169481435055	0.0008704542370358764
M_VAL_11	0.00023040980584196962	0.0	0.0	0.00010734854589173506	0.0003377583517337047	8.443958793342617e-05
M_VAL_12	0.00024772010264908855	0.0	0.0	9.677988616904418e-05	0.00034449998881813274	8.612499720453319e-05
M_VAL_13	0.00037354923869313864	1.599385309503041e-06	3.2684783105792726e-08	5.971851327601694e-05	0.0004348998220617644	0.0001087249555154411
M_VAL_14	0.00409190745766003	0.0015318675213561285	0.0	0.0002869988378812776	0.005910773816897436	0.001477693454224359
M_VAL_15	3.405313630651551e-05	1.7577955320973246e-05	0.0	2.6126465354410005e-05	7.775755698189876e-05	1.943938924547469e-05
M_VAL_16	0.00016115267736251028	0.0	0.0	9.497082638515988e-05	0.0002561235037476702	6.403087593691754e-05
M_VAL_17	0.0031840424879208723	9.537237715257262e-06	0.0	0.00019414689001588908	0.0033877266156520187	0.0008469316539130047
M_VAL_18	0.00034967218530289215	0.0	0.0	0.00010632182856497606	0.0004559940138678682	0.00011399850346696705
M_VAL_19	0.00038955657596416085	1.3689710152750428e-06	0.0	0.00036877093936283283	0.0007596964863422688	0.0001899241215855672
M_VAL_20	0.0004905722462375159	0.0	1.8170110729352284e-07	6.684382306307018e-05	0.0005575977704078797	0.00013939944260196992
M_VAL_21	0.00030521021512864096	0.0	0.0	8.892354614150572e-05	0.0003941337612701467	9.853344031753668e-05
M_VAL_22	0.0055721552790401795	0.0014674323458570347	0.0	0.00031565822597082817	0.007355245850868042	0.0018388114627170104
M_VAL_23	3.778755300771836e-05	0.0	0.0	0.0001004477733884302	0.00013823532639614856	3.455883159903714e-05
M_VAL_24	9.779827917576293e-05	0.0	0.0	2.34976693261194e-05	0.00012129594850188233	3.032398712547058e-05
M_VAL_25	0.003641153411656785	0.0005304656131143847	0.0	0.0008106418649334969	0.004982260889704666	0.0012455652224261666
M_VAL_26	0.00155251972201922	0.0038024949502431125	0.0	7.762878664013932e-05	0.005432643458902472	0.001358160864725618
M_VAL_27	0.0005286148436784249	1.442190212792959e-06	0.0	9.884562696846673e-05	0.0006289026608596846	0.00015722566521492114
M_VAL_28	0.0003225121733369862	0.0	0.0	7.878674741093967e-05	0.0004012989207479259	0.00010032473018698147
M_VAL_29	0.00017705187459060494	4.016042497945359e-06	0.0	3.0849373996813596e-05	0.00021191729108536393	5.297932277134098e-05
M_VAL_31	2.65580831794114e-05	1.363957798441079e-05	0.0	1.0302669387112726e-05	5.050033055093491e-05	1.2625082637733728e-05
M_VAL_32	0.0001621507489809419	1.3956406424363874e-06	0.0	8.998821995875093e-05	0.0002535346095821292	6.33836523955323e-05
