feature	avg
Total_Operands	0.04214014709161006
DistinctOperands	0.029699674520538292
ProgramLength	0.0038475291469122538
VocabularySize	0.005588107329326675
ProgramVolume	0.004821619950912358
Effort	0.0036484631070673214
ProgramLevel	0.002174645798476016
ProgramLevel.1	0.002346775952839669
DifficultyLevel	0.0014668655803653794
TimeToImplement	0.0037396681988312503
BugsDelivered	0.0058510338329561045
Sloc	0.021371659483982175
DecisionPoint	0.0040667229368950356
GlobalVariables	0.06164444132411784
If	0.003730062226659143
Loop	0.035206226747516944
Goto	0.005190417474136859
Assignment	0.006209686078372001
ExitPoint	0.03399997126412466
Function	0.02903118855679755
FunctionCall	0.022519805221153318
PointerDereferencing	0.0006453802518427681
CyclomaticComplexity	0.0077071093984208625
SCALAR_INPUT	1.2703439203924922e-06
RANGE_SCALAR_VALUES	2.9684287142816592e-06
SCALAR_INDEX_INPUT	0.08034439966961042
RANGE_SCALAR_INDEX_VALUES	0.08815174741048148
ARRAY_INPUT	0.06190868514542038
RANGE_ARRAY_INPUT	0.0024478510966496267
cInstr	0.02482937018038053
SS_VAL_1	0.0
SV_VAL_1	3.0198806608071132e-05
V_VAL_1	0.006332546042314164
V_VAL_2	0.007582559153301523
V_VAL_3	0.002702978206444663
V_VAL_4	0.0005752101359183695
V_VAL_5	0.006881591452977955
V_VAL_6	0.002645622990906983
V_VAL_7	0.0004014160866466431
V_VAL_8	0.0008006569365412092
V_VAL_9	0.001531392289336958
V_VAL_10	0.0003473398580197592
V_VAL_11	0.0002985021530157533
V_VAL_12	0.002642285994453226
V_VAL_13	0.0020490961750806794
V_VAL_14	0.002035566171905577
V_VAL_15	8.034870821223405e-05
V_VAL_16	5.389783237199972e-05
V_VAL_17	6.947620604052214e-05
V_VAL_18	0.00020760183871689833
V_VAL_19	9.471656694176166e-05
V_VAL_20	3.3275263428436124e-05
V_VAL_21	2.1506832884349034e-05
V_VAL_22	1.2838104046135456e-05
V_VAL_23	1.428164768203668e-05
V_VAL_24	8.769547599816798e-06
V_VAL_25	5.383559587623744e-06
V_VAL_26	3.254892205228392e-06
V_VAL_27	2.8349454072086202e-06
V_VAL_28	6.822232851159666e-07
M_VAL_1	0.09199877042524336
M_VAL_2	0.09840698150228418
M_VAL_3	0.000661428529831697
M_VAL_4	0.00045021854358847155
M_VAL_5	0.00039045837943893166
M_VAL_6	0.007096107597439038
M_VAL_7	9.56300268239553e-05
M_VAL_8	0.0005393433679199678
M_VAL_9	0.011373129997631914
M_VAL_10	0.008734594028889656
M_VAL_11	0.0005162431767478087
M_VAL_12	0.00039913001396864377
M_VAL_13	0.000860867363727801
M_VAL_14	0.08513580258577003
M_VAL_15	0.0001330300468093386
M_VAL_16	0.00035144193398435044
M_VAL_17	0.0033628970892871004
M_VAL_18	0.021181093920676353
M_VAL_19	0.000443843342588155
M_VAL_20	0.0004804835058156522
M_VAL_21	0.00026909173125087106
M_VAL_22	0.0035144011728531635
M_VAL_23	8.894289946208739e-05
M_VAL_24	0.00028763949865200615
M_VAL_25	0.013295738815136878
M_VAL_26	0.01589453356644483
M_VAL_27	0.0005026883985979471
M_VAL_28	0.0008189332907838285
M_VAL_29	0.0005073437909565454
M_VAL_31	8.811608159678973e-05
M_VAL_32	0.00032175100488604524
