inputName,text,data,bss
values_373,472,26,0
values_351,472,23,0
values_32,472,29,0
values_770,472,20,0
values_371,472,26,0
values_283,472,27,0
values_535,472,24,0
values_250,472,22,0
values_132,472,16,0
values_649,472,13,0
values_77,472,24,0
values_260,472,27,0
values_1004,472,27,0
values_891,472,16,0
values_91,472,24,0
values_137,472,16,0
values_42,472,29,0
values_13,472,20,0
values_577,472,14,0
values_41,472,29,0
values_809,472,17,0
values_414,472,10,0
values_360,472,26,0
values_386,472,10,0
values_158,472,16,0
values_904,472,6,0
values_480,472,15,0
values_647,472,13,0
values_104,472,21,0
values_55,472,29,0
values_491,472,15,0
values_391,472,10,0
values_972,472,9,0
values_571,472,22,0
values_940,472,12,0
values_861,472,22,0
values_324,472,23,0
values_549,472,22,0
values_170,472,9,0
values_269,472,27,0
values_442,472,22,0
values_520,472,24,0
values_455,472,28,0
values_31,472,20,0
values_971,472,9,0
values_397,472,10,0
values_254,472,22,0
values_616,472,13,0
values_66,472,24,0
values_943,472,12,0
values_117,472,21,0
values_451,472,28,0
values_643,472,13,0
values_688,472,16,0
values_569,472,22,0
values_745,472,22,0
values_65,472,24,0
values_980,472,9,0
values_982,472,9,0
values_62,472,29,0
values_789,472,20,0
values_401,472,10,0
values_21,472,20,0
values_598,472,14,0
values_273,472,27,0
values_534,472,24,0
values_118,472,21,0
values_141,472,16,0
values_366,472,26,0
values_222,472,27,0
values_876,472,16,0
values_700,472,16,0
values_95,472,24,0
values_806,472,17,0
values_671,472,13,0
values_816,472,17,0
values_630,472,13,0
values_433,472,22,0
values_905,472,6,0
values_84,472,24,0
values_233,472,22,0
values_664,472,13,0
values_162,472,9,0
values_681,472,16,0
values_542,472,24,0
values_169,472,9,0
values_660,472,13,0
values_488,472,15,0
values_894,472,16,0
values_828,472,17,0
values_537,472,24,0
values_845,472,22,0
values_584,472,14,0
values_457,472,28,0
values_499,472,15,0
values_369,472,26,0
values_58,472,29,0
values_64,472,24,0
values_196,472,27,0
values_462,472,28,0
values_343,472,23,0
values_262,472,27,0
values_966,472,9,0
values_261,472,27,0
values_349,472,23,0
values_263,472,27,0
values_801,472,17,0
values_292,472,20,0
values_786,472,20,0
values_101,472,21,0
values_691,472,16,0
values_926,472,6,0
values_754,472,22,0
values_215,472,27,0
values_977,472,9,0
values_850,472,22,0
values_646,472,13,0
values_628,472,13,0
values_941,472,12,0
values_353,472,26,0
values_690,472,16,0
values_961,472,9,0
values_331,472,23,0
values_377,472,26,0
values_128,472,16,0
values_336,472,23,0
values_632,472,13,0
values_166,472,9,0
values_744,472,22,0
values_837,472,22,0
values_807,472,17,0
values_838,472,22,0
values_723,472,32,0
values_874,472,16,0
values_627,472,13,0
values_555,472,22,0
values_446,472,22,0
values_716,472,32,0
values_240,472,22,0
values_140,472,16,0
values_317,472,20,0
values_83,472,24,0
values_696,472,16,0
values_413,472,10,0
values_94,472,24,0
values_937,472,12,0
values_199,472,27,0
values_596,472,14,0
values_0,472,20,0
values_953,472,12,0
values_906,472,6,0
values_742,472,22,0
values_396,472,10,0
values_159,472,16,0
values_238,472,22,0
values_136,472,16,0
values_915,472,6,0
values_99,472,21,0
values_771,472,20,0
values_96,472,21,0
values_768,472,20,0
values_1001,472,27,0
values_67,472,24,0
values_565,472,22,0
values_848,472,22,0
values_114,472,21,0
values_61,472,29,0
values_511,472,15,0
values_729,472,32,0
values_460,472,28,0
values_832,472,22,0
values_1015,472,27,0
values_348,472,23,0
values_182,472,9,0
values_986,472,9,0
values_180,472,9,0
values_930,472,12,0
values_274,472,27,0
values_309,472,20,0
values_496,472,15,0
values_165,472,9,0
values_553,472,22,0
values_1023,472,27,0
values_870,472,16,0
values_795,472,20,0
values_361,472,26,0
values_302,472,20,0
values_586,472,14,0
values_880,472,16,0
values_665,472,13,0
values_527,472,24,0
values_372,472,26,0
values_382,472,26,0
values_43,472,29,0
values_935,472,12,0
values_2,472,20,0
values_790,472,20,0
values_152,472,16,0
values_871,472,16,0
values_434,472,22,0
values_775,472,20,0
values_500,472,15,0
values_220,472,27,0
values_875,472,16,0
values_249,472,22,0
values_808,472,17,0
values_859,472,22,0
values_539,472,24,0
values_635,472,13,0
values_311,472,20,0
values_183,472,9,0
values_54,472,29,0
values_390,472,10,0
values_890,472,16,0
values_711,472,32,0
values_471,472,28,0
values_995,472,27,0
values_443,472,22,0
values_464,472,28,0
values_774,472,20,0
values_200,472,27,0
values_747,472,22,0
values_758,472,22,0
values_30,472,20,0
values_820,472,17,0
values_393,472,10,0
values_576,472,14,0
values_445,472,22,0
values_662,472,13,0
values_403,472,10,0
values_640,472,13,0
values_59,472,29,0
values_490,472,15,0
values_194,472,27,0
values_751,472,22,0
values_1007,472,27,0
values_663,472,13,0
values_938,472,12,0
values_532,472,24,0
values_885,472,16,0
values_713,472,32,0
values_193,472,27,0
values_650,472,13,0
values_564,472,22,0
values_267,472,27,0
values_147,472,16,0
values_709,472,32,0
values_857,472,22,0
values_334,472,23,0
values_965,472,9,0
values_824,472,17,0
values_784,472,20,0
values_229,472,22,0
values_538,472,24,0
values_463,472,28,0
values_741,472,22,0
values_85,472,24,0
values_493,472,15,0
values_794,472,20,0
values_202,472,27,0
values_74,472,24,0
values_410,472,10,0
values_469,472,28,0
values_394,472,10,0
values_149,472,16,0
values_945,472,12,0
values_293,472,20,0
values_456,472,28,0
values_975,472,9,0
values_547,472,22,0
values_164,472,9,0
values_720,472,32,0
values_833,472,22,0
values_90,472,24,0
values_954,472,12,0
values_1002,472,27,0
values_483,472,15,0
values_990,472,9,0
values_113,472,21,0
values_878,472,16,0
values_942,472,12,0
values_126,472,21,0
values_666,472,13,0
values_960,472,9,0
values_783,472,20,0
values_735,472,32,0
values_439,472,22,0
values_860,472,22,0
values_18,472,20,0
values_173,472,9,0
values_454,472,28,0
values_176,472,9,0
values_698,472,16,0
values_869,472,16,0
values_697,472,16,0
values_509,472,15,0
values_189,472,9,0
values_714,472,32,0
values_270,472,27,0
values_863,472,22,0
values_548,472,22,0
values_359,472,26,0
values_512,472,24,0
values_656,472,13,0
values_684,472,16,0
values_171,472,9,0
values_675,472,16,0
values_657,472,13,0
values_333,472,23,0
values_599,472,14,0
values_129,472,16,0
values_886,472,16,0
values_107,472,21,0
values_272,472,27,0
values_52,472,29,0
values_819,472,17,0
values_682,472,16,0
values_44,472,29,0
values_914,472,6,0
values_346,472,23,0
values_151,472,16,0
values_550,472,22,0
values_326,472,23,0
values_836,472,22,0
values_437,472,22,0
values_984,472,9,0
values_17,472,20,0
values_748,472,22,0
values_581,472,14,0
values_705,472,32,0
values_121,472,21,0
values_219,472,27,0
values_321,472,23,0
values_843,472,22,0
values_606,472,14,0
values_898,472,6,0
values_601,472,14,0
values_36,472,29,0
values_282,472,27,0
values_395,472,10,0
values_449,472,28,0
values_209,472,27,0
values_956,472,12,0
values_579,472,14,0
values_484,472,15,0
values_521,472,24,0
values_617,472,13,0
values_516,472,24,0
values_358,472,26,0
values_335,472,23,0
values_139,472,16,0
values_992,472,27,0
values_211,472,27,0
values_507,472,15,0
values_921,472,6,0
values_138,472,16,0
values_275,472,27,0
values_614,472,13,0
values_49,472,29,0
values_227,472,22,0
values_203,472,27,0
values_172,472,9,0
values_86,472,24,0
values_1011,472,27,0
values_178,472,9,0
values_978,472,9,0
values_253,472,22,0
values_1010,472,27,0
values_291,472,20,0
values_911,472,6,0
values_230,472,22,0
values_318,472,20,0
values_798,472,20,0
values_638,472,13,0
values_112,472,21,0
values_201,472,27,0
values_629,472,13,0
values_337,472,23,0
values_37,472,29,0
values_56,472,29,0
values_316,472,20,0
values_829,472,17,0
values_63,472,29,0
values_35,472,29,0
