id,depth,MSE,NRMSE,MAE,R2,time
"multi, feature: text",8,5436.61,6.325682236247729,23.02,0.99,0.2042083740234375
"multi, feature: data",8,17130.82,90.08893150568323,66.02,0.53,0.2042083740234375
"multi, feature: bss",8,1701.32,25.644502433606903,14.19,0.61,0.2042083740234375
"multi, feature: text",10,5060.09,5.88758829984398,21.61,0.99,0.23725080490112305
"multi, feature: data",10,14956.18,78.65276009009898,59.66,0.59,0.23725080490112305
"multi, feature: bss",10,1484.24,22.37239102112284,12.74,0.66,0.23725080490112305
"multi, feature: text",12,4277.58,4.977111071077117,18.63,0.99,0.26520872116088867
"multi, feature: data",12,12411.29,65.26948825025138,51.55,0.66,0.26520872116088867
"multi, feature: bss",12,1206.31,18.183069458234982,10.84,0.73,0.26520872116088867
"multi, feature: text",14,3247.33,3.7783798536651223,14.8,1.0,0.2859659194946289
"multi, feature: data",14,9479.41,49.85108233022638,41.82,0.74,0.2859659194946289
"multi, feature: bss",14,883.23,13.313188515055737,8.63,0.8,0.2859659194946289
"multi, feature: text",16,2326.24,2.7066600409536306,11.15,1.0,0.30408167839050293
"multi, feature: data",16,7015.81,36.89530486847025,32.55,0.81,0.30408167839050293
"multi, feature: bss",16,600.68,9.054228317905505,6.4,0.86,0.30408167839050293
Single:assemblyInstr,8,201106.35,0.9389474239620684,302.7,1.0,0.22910237312316895
Single:assemblyInstr,10,48341.15,0.22570047272929944,138.31,1.0,0.25272035598754883
Single:assemblyInstr,12,12176.19,0.05684953376247293,59.75,1.0,0.2976408004760742
Single:assemblyInstr,14,2873.37,0.013415505574985019,24.85,1.0,0.3322451114654541
Single:assemblyInstr,16,636.28,0.002970733976916119,9.34,1.0,0.3435633182525635
Single:clockCycles,8,350334.81,1.3486944327873023,404.16,1.0,0.2349848747253418
Single:clockCycles,10,82648.81,0.3181756044267925,184.53,1.0,0.2556569576263428
Single:clockCycles,12,21184.24,0.08155360453855579,80.31,1.0,0.29868412017822266
Single:clockCycles,14,3866.02,0.014883133226311043,30.56,1.0,0.326383113861084
Single:clockCycles,16,789.82,0.0030405937591644608,11.15,1.0,0.3458366394042969
Single:text,8,1365.55,1.5888642697762185,9.19,1.0,0.2141740322113037
Single:text,10,315.02,0.36653657666501,2.67,1.0,0.20433568954467773
Single:text,12,79.76,0.09280349614247095,0.51,1.0,0.21981501579284668
Single:text,14,0.67,0.0007795679841456311,0.08,1.0,0.23119211196899414
Single:text,16,0.43,0.0005003197510188379,0.05,1.0,0.22014522552490234
Single:data,8,518.99,2.7293062773489267,9.45,0.99,0.21620750427246094
Single:data,10,367.06,1.9303245961650457,7.32,0.99,0.2218160629272461
Single:data,12,209.21,1.1002103437140773,5.47,0.99,0.24669504165649414
Single:data,14,129.22,0.6795525099886863,4.18,1.0,0.26709771156311035
Single:data,16,67.34,0.3541329981631182,3.19,1.0,0.26425600051879883
Single:bss,8,0.12,0.0018087956951266242,0.03,1.0,0.17238116264343262
Single:bss,10,0.0,0.0,0.0,1.0,0.17008471488952637
Single:bss,12,0.0,0.0,0.0,1.0,0.16985726356506348
Single:bss,14,0.0,0.0,0.0,1.0,0.172837495803833
Single:bss,16,0.0,0.0,0.0,1.0,0.17024517059326172
