id,MSE,MAE,RMSE,time
Single:assemblyInstr,23538763776.0,39790.64453125,153423.484375,5.146583795547485
"Single, feature removed:assemblyInstr",128.0762481689453,9.094916343688965,11.31707763671875,4.7190446853637695
Single:clockCycles,41667571712.0,52661.3125,204126.359375,4.795820951461792
"Single, feature removed:clockCycles",0.4000000059604645,0.2666666805744171,0.6324555277824402,4.99702525138855
Single:text,22002376.0,2356.9765625,4690.6689453125,4.880321264266968
"Single, feature removed:text",0.20591667294502258,0.20591667294502258,0.4537804126739502,5.307960033416748
Single:data,121727.484375,134.98008728027344,348.8946533203125,5.129397869110107
"Single, feature removed:data",0.4000000059604645,0.4000000059604645,0.6324555277824402,5.042025089263916
Single:bss,45307.98046875,96.819580078125,212.85671997070312,4.974419593811035
"Single, feature removed:bss",4.654250144958496,1.681583285331726,2.1573710441589355,4.19945764541626
