inputName,text,data,bss
values_607,13184,240,384
values_717,13168,224,384
values_782,13184,336,392
values_258,13168,168,376
values_872,13168,368,392
values_637,13184,336,392
values_746,13200,872,400
values_4,13184,464,392
values_345,13184,336,392
values_102,13184,720,400
values_962,13184,176,384
values_356,13200,584,392
values_853,13200,672,400
values_849,13200,264,384
values_814,13168,432,392
values_370,12448,144,376
values_778,13168,368,392
values_458,12448,160,376
values_818,13216,816,400
values_119,13168,168,376
values_373,13216,624,400
values_351,12448,160,376
values_32,13184,464,392
values_770,13168,168,376
values_371,13168,368,392
values_283,13184,240,384
values_535,12448,144,376
values_250,13200,312,384
values_132,13200,672,400
values_649,12448,160,376
values_77,13216,624,400
values_260,13184,464,392
values_891,13168,152,376
values_91,13168,224,384
values_137,13184,720,400
values_42,13168,192,384
values_13,13168,432,392
values_577,13200,504,392
values_41,12448,400,392
values_809,13168,168,376
values_414,13184,176,384
values_360,13168,152,376
values_386,13200,768,400
values_158,13168,168,376
values_904,13200,312,384
values_480,13200,672,400
values_647,13168,368,392
values_104,13168,192,384
values_55,13200,312,384
values_491,12448,144,376
values_391,13200,872,400
values_972,13168,168,376
values_571,13200,312,384
values_940,13184,336,392
values_861,13200,872,400
values_324,13168,368,392
values_549,13168,152,376
values_170,13200,872,400
values_269,13200,872,400
values_442,13200,504,392
values_520,13184,720,400
values_455,13168,192,384
values_31,13168,368,392
values_971,13184,240,384
values_397,13168,168,376
values_254,13216,816,400
values_616,12448,400,392
values_66,13200,872,400
values_943,13200,872,400
values_117,12448,208,384
values_451,13200,872,400
values_643,13184,544,392
values_688,13168,192,384
values_569,13184,336,392
values_745,13184,336,392
values_65,13216,624,400
values_980,13184,928,400
values_982,13200,672,400
values_62,13200,264,384
values_789,13168,192,384
values_401,12448,160,376
values_21,12448,160,376
values_598,13200,504,392
values_273,13184,336,392
values_534,13200,872,400
values_118,12448,160,376
values_141,12448,400,392
values_366,13184,928,400
values_222,13200,312,384
values_876,13184,336,392
values_700,13216,624,400
values_95,13216,624,400
values_806,13168,432,392
values_671,13168,152,376
values_816,13184,464,392
values_630,13184,720,400
values_433,13216,816,400
values_905,13184,288,384
values_84,13184,176,384
values_233,13168,368,392
values_664,13184,464,392
values_162,13200,872,400
values_681,13200,768,400
values_542,13200,584,392
values_169,13168,192,384
values_660,13168,168,376
values_488,12448,208,384
values_894,13216,816,400
values_828,13200,264,384
values_537,13184,240,384
values_845,13168,152,376
values_584,13200,264,384
values_457,13168,224,384
values_499,13216,624,400
values_369,13184,288,384
values_58,13184,464,392
values_64,13200,768,400
values_196,13216,816,400
values_462,13184,240,384
values_343,13168,168,376
values_262,12448,144,376
values_966,13200,312,384
values_261,13184,288,384
values_349,13168,224,384
values_263,13216,624,400
values_801,13200,872,400
values_292,13200,584,392
values_786,13184,928,400
values_101,13200,584,392
values_691,13200,872,400
values_926,13184,288,384
values_754,13200,872,400
values_215,13184,464,392
values_977,13184,336,392
values_850,13168,224,384
values_646,12448,208,384
values_628,13184,176,384
values_941,12448,208,384
values_353,13168,368,392
values_690,13216,816,400
values_961,13200,672,400
values_331,13184,464,392
values_377,12448,144,376
values_128,13168,152,376
values_336,13200,504,392
values_632,13168,224,384
values_166,13168,224,384
values_744,13184,240,384
values_837,13168,152,376
values_807,12448,160,376
values_838,13184,240,384
values_723,12448,400,392
values_874,13200,872,400
values_627,13184,928,400
values_555,13200,672,400
values_446,13168,432,392
values_716,13184,464,392
values_240,13168,432,392
values_140,13184,544,392
values_317,12448,400,392
values_83,13168,192,384
values_696,13184,928,400
values_413,13200,264,384
values_94,13184,288,384
values_937,13168,432,392
values_199,12448,144,376
values_596,13200,672,400
values_0,13168,152,376
values_953,13184,928,400
values_906,13168,432,392
values_742,13184,720,400
values_396,13184,720,400
values_159,13200,504,392
values_238,13200,504,392
values_136,13168,432,392
values_915,12448,144,376
values_99,13200,872,400
values_771,13200,264,384
values_96,13168,152,376
values_768,13184,928,400
values_67,13168,168,376
values_565,13184,240,384
values_848,13184,464,392
values_114,13216,624,400
values_61,12448,144,376
values_511,13168,152,376
values_729,13200,504,392
values_460,13184,928,400
values_832,13200,504,392
values_348,13168,368,392
values_182,13184,176,384
values_986,13184,176,384
values_180,13216,816,400
values_930,12448,144,376
values_274,13184,240,384
values_309,13184,176,384
values_496,13216,624,400
values_165,13184,240,384
values_553,13216,624,400
values_870,13216,816,400
values_795,13200,672,400
values_361,13200,504,392
values_302,13184,240,384
values_586,13168,368,392
values_880,13184,464,392
values_665,13168,432,392
values_527,13184,336,392
values_372,12448,160,376
values_382,13184,928,400
values_43,13168,152,376
values_935,12448,208,384
values_2,13168,192,384
values_790,13184,336,392
values_152,12448,208,384
values_871,13216,624,400
values_434,13184,336,392
